id,restr_name,food_ctg,addr,code
162,홍루이젠 창동역점,샌드위치,서울 도봉구 노해로63길 67,1483375082
163,본가낙곱새 하남점,한식,경기 하남시 미사대로 592,1431675934
164,상품궁양꼬치,양꼬치,경기 부천시 원미구 부천로40번길 27,1030822122
165,자금성,중식당,경기 고양시 덕양구 화신로272번길 38 성보월드프라자,18279765
166,도봉고을민물장어,"장어,먹장어요리",서울 도봉구 도봉산4나길 31,18633844
167,쿠우쿠우 송탄점,"일식,초밥뷔페",경기 평택시 경기대로 1407 4층,1339970403
168,쉬즈베이글 두정점,"카페,디저트",충남 천안시 서북구 두정로 216 프라지움2차 107호 쉬즈베이글 두정점,1953687897
169,오직그대만 스타필드고양점,"카페,디저트",경기 고양시 덕양구 고양대로 1955 B1F,1458964601
170,큰맘할매순대국 병점사거리점,"순대,순댓국","경기 화성시 경기대로 1036 금성빌딩 102, 103호",37411318
171,또순이포차,포장마차,서울 강동구 풍성로56길 9,1932272902
172,벤틀리커피,카페,경기 하남시 미사강변한강로334번길 77 1층,1126956155
173,아씨닭발 병점점,닭발,경기 화성시 병점동로 98,32087698
174,송담추어탕 가능역점,추어탕,경기 의정부시 평화로 638-1,1629851510
175,쌩맥주 통감자,술집,경기 부천시 원미구 석천로183번길 19,38709792
176,기라꾸,일식당,경기 고양시 일산서구 중앙로 1436 그랜드백화점 일산점 지하 2층,932275686
177,김사부의 곱창명가 온양점,"곱창,막창,양",충남 아산시 충무로40번길 22,1967296852
178,멕시칸치킨 중계7점,"치킨,닭강정",서울 노원구 노원로19길 23,38228542
179,경성꽈배기 아차산점,베이커리,서울 광진구 자양로50길 12,1355800659
180,YJN필리핀레스토랑,아시아음식,경기 평택시 평택로88번길 4,1007646145
181,콩나물국밥&코다리찜,"칼국수,만두",서울 종로구 율곡로 220-1,1493888814
182,춘리마라탕 독산점,마라탕,서울 금천구 가산디지털1로 2 114호,1006769142
183,리파인 안산중앙점,요리주점,"경기 안산시 단원구 고잔1길 70 303호, 304호, 305호",1132745506
184,청년찌개 안산고잔점,"찌개,전골",경기 안산시 단원구 당곡로 33 1층,1588693621
185,평창우선생,한식,서울 중구 통일로 102 바비엥1,18112848
186,카페붕,"카페,디저트",서울 마포구 월드컵북로 230 3층 302호,1269540796
187,준푸드앤컬쳐 어머니의 찬장,한식,경기 고양시 일산서구 주화로 170,1406329541
188,금강산,"육류,고기요리",서울 구로구 구일로 110 해원리버파크,18960919
189,토속청국장,한식,서울 서초구 양재천로11길 12,38521795
190,모퉁이,베트남음식,서울 중구 세종대로 30 지하2층,1736657003
191,카우웨이,"스테이크,립",서울 중랑구 중랑역로 270-3 1층,1392425679
192,속초킹김밥&도시락 석촌점,한식,서울 송파구 송파대로45길 3-24 2층 102호,1683119397
193,황금동태 역곡점,"해물,생선요리",경기 부천시 소사구 경인로 493-1,12869671
194,우이필드,케이크전문,서울 용산구 녹사평대로46길 46 1층,1588882422
195,바른가정식,한식,서울 구로구 경인로53길 15,1038001792
196,롤링핀 포스코 사거리점,베이커리,서울 강남구 테헤란로78길 16 1층,38544354
197,스마일분식 천안지하상가쇼핑몰점,종합분식,충남 천안시 동남구 버들로 2 천안지하상가쇼핑몰 11,31315706
198,오통영 이촌점,한식,서울 용산구 이촌로 300,34882972
199,BBQ치킨 직산삼은점,"치킨,닭강정",충남 천안시 서북구 직산읍 삼은3길 32 패밀리마트,35708811
200,여수맛집,생선회,서울 강서구 곰달래로 71,1081459836
201,자연애두부,한식,서울 영등포구 63로 45,1771365859
202,행운포차,포장마차,경기 부천시 원미구 신흥로52번길 55-1,1749643650
203,촛불호프,"맥주,호프",인천 부평구 동암남로 11,1334372282
204,구삼짜글이 단원점,한식,경기 안산시 단원구 광덕4로 108,1987419118
205,까르보네 의정부중앙로점,"스파게티,파스타전문",경기 의정부시 평화로 538 까르보네 1층,1097325734
206,오늘와인한잔 강남점,와인,서울 강남구 강남대로96길 11-4 지하1층 오늘와인한잔,1985953793
207,블루보틀 명동 카페,블루보틀,서울 중구 명동길 14 1층,1073358167
208,태풍순대국,"순대,순댓국",서울 성동구 성수일로 99 106호,1103215086
209,특급식당,한식,경기 성남시 중원구 갈마치로 314,1024144285
210,파리바게뜨 성신여대점,베이커리,서울 성북구 동소문로20가길 24,11690137
211,팔덕식당 산본점,돼지고기구이,경기 군포시 번영로 495 신명산빌딩 210호,1161718851
212,쇼유식당 선릉본점,술집,서울 강남구 테헤란로43길 17 2층,1436398475
213,사미반점 송파1호점,중식당,서울 송파구 동남로20길 31 1층,1956869301
214,궁의아침,한식,서울 종로구 사직로8길 4 광화문스페이스본 301동 B208호,1962510045
215,히히포차,포장마차,서울 중랑구 봉우재로33길 88 1층,36720921
216,네가,바(BAR),서울 용산구 한강대로11길 21 5층 & 루프톱,1128945800
217,경성꽈배기 논현점,베이커리,서울 강남구 강남대로124길 10 1층,1982147924
218,에이엘카페 논현역점,"카페,디저트",서울 서초구 사평대로53길 94 1층,1024973471
219,손아귀로대구뽈싸대기,"아귀찜,해물찜",경기 화성시 동탄반송1길 20-11 102호,1406976414
220,돼갈후,요리주점,경기 의정부시 태평로63번길 26 2층,1019560215
221,마반장 화곡본점,감자탕,서울 강서구 강서로45길 19 호은빌딩,12835421
222,소한마리정육식당,정육식당,서울 노원구 상계로3길 32,35162704
223,홍콩반점0410 광명철산역점,중식당,경기 광명시 오리로856번길 23 명산빌딩,37165747
224,화이트비치,"카페,디저트",서울 성동구 왕십리로 410 센트라스상가 C동 106,1783807977
225,우리와인,와인,경기 안양시 동안구 시민대로 180,1388933424
226,이자카야 유리,이자카야,서울 관악구 봉천로 493 1층 이자카야유리,1321231285
227,시들지않는나무,카페,경기 고양시 일산서구 호수로838번길 34-1,1289200360
228,뼈다귀고을본점,감자탕,경기 양주시 회정로 91,18078022
229,슬로우야드 바베큐,양식,서울 마포구 포은로 7 슬로우야드,1721939875
230,오설록 더현대 서울,차,서울 영등포구 여의대로 108 지하 1층 오설록,1826406203
231,블라썸바,바(BAR),서울 중랑구 동일로 855,1340267234
232,강남원김치찜,한식,서울 강남구 언주로98길 35 지상2층,1259127722
233,믿음소망사랑,브런치,서울 강동구 고덕로97길 20 상가동 106호,1897367330
234,맛깔1987,생선회,서울 마포구 동교로 212-9 1층,1837920980
235,코코로식당,일식당,서울 금천구 벚꽃로38길 32-25 2층,1831722723
236,메가MGC커피 경희대점,카페,서울 동대문구 경희대로 18,1402018416
237,투다리 화곡본점,"오뎅,꼬치",서울 강서구 까치산로 30 1층(화곡동),1419163382
238,봉푸드분식칼국수,"칼국수,만두",서울 강서구 방화동로5길 3,1143428534
239,봉명동내커피 마곡점,카페,서울 강서구 마곡동로10길 23 마곡파크뷰대방디엠시티오피스텔 1층 114호,1016692337
240,라무진 성산점,양갈비,서울 마포구 월드컵북로 77 1층,34616058
241,크러쉬버거&펍,햄버거,서울 종로구 율곡로 220 1층,1417519787
242,돈족 본점,"족발,보쌈",서울 동대문구 전농로 124-5,1518288736
243,포시즌스 호텔 서울 찰스 H.,바(BAR),서울 종로구 새문안로 97 LL층,37402393
244,마장갈비 한양대점,"육류,고기요리",서울 성동구 마조로3가길 11,19882224
245,스시광,"초밥,롤",서울 강북구 도봉로 182 진경빌딩,33068150
246,연남서식당,"육류,고기요리","서울 서대문구 신촌로 87-4 1층 (신촌역 1번출구, 도보 1분거리)",1270801850
247,진도부대찌개,"찌개,전골",서울 성동구 연무장11길 15,37868334
248,희망초이스1호점,종합분식,경기 수원시 권선구 정조로388번길 3,664483515
249,이도곰탕 을지로 직영점,"곰탕,설렁탕",서울 중구 다동길 30,1818017329
250,주가리 곱창 순대,"곱창,막창,양",인천 부평구 충선로203번길 24 삼산프라자,38276846
251,브레드디,베이커리,서울 노원구 덕릉로 699 우암에이스타워,87002780
252,하이라인 한남,한식,서울 용산구 이태원로 243 5층,1454773005
253,정선곤드레쌈밥,쌈밥,경기 평택시 첨단대로 433 1층,1125461262
254,고메이 494,양식,서울 강남구 압구정로 343 갤러리아백화점 명품관 WEST B1,38019040
255,산촌버섯마을,한식,서울 동대문구 왕산로2길 22,18838952
256,레뜰coffee공방,카페,경기 고양시 덕양구 화중로152번길 18 1층 103호 레뜰coffee공방,1761395042
257,송수사,생선회,경기 안산시 단원구 광덕2로 185-18 BMA빌딩 1층,35011453
258,Mr.Tung,중식당,서울 구로구 경인로 31-9 동진빌라,33706480
259,백소정 철산점,일식당,경기 광명시 오리로856번길 23 202호,1083551694
260,야한곱창 평택점,"곱창,막창,양",경기 평택시 평택3로 62 1층,1981171914
